school_id,opponent_id,opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence
26172,696,Tex. A&M-Kingsville,11/14/2008,83,64,Home,,,1940
26172,301,Illinois,11/16/2008,53,72,Away,,,14394
26172,509,Northwestern,11/19/2008,48,66,Away,,,3017
26172,719,Tulsa,11/23/2008,43,66,Away,,,4619
26172,314,Jackson St.,11/28/2008,73,63,Neutral,"South Padre Island, TX",,150
26172,460,UNC Wilmington,11/29/2008,97,64,Neutral,"South Padre Island, TX",,300
26172,1334,St. Edward's,12/03/2008,84,70,Home,,,1544
26172,698,TCU,12/06/2008,53,66,Away,,,3093
26172,30090,Tex. A&M Int'l,12/08/2008,87,60,Home,,,1321
26172,521,Oklahoma St.,12/14/2008,59,82,Home,,,2380
26172,632,Savannah St.,12/18/2008,42,47,Away,,,365
26172,257,Georgia,12/22/2008,80,79,Away,,1 OT,5703
26172,663,SMU,12/31/2008,62,92,Away,,,2162
26172,234,Florida St.,01/03/2009,48,69,Away,,,5137
26172,288,Houston,01/06/2009,65,85,Away,,,3034
26172,1004,Central Ark.,01/10/2009,70,44,Home,,,1352
26172,670,Texas St.,01/14/2009,89,64,Home,,,1741
26172,508,Northwestern St.,01/17/2009,69,68,Away,,,1331
26172,346,Lamar,01/21/2009,89,71,Away,,,2877
26172,706,UTSA,01/24/2009,80,66,Home,,,1200
26172,624,Sam Houston St.,01/31/2009,51,72,Away,,,1567
26172,702,Texas-Arlington,02/04/2009,82,75,Home,,,1448
26172,483,Nicholls St.,02/07/2009,69,68,Away,,,1127
26172,670,Texas St.,02/11/2009,70,59,Away,,,1511
26172,624,Sam Houston St.,02/14/2009,73,75,Home,,,1758
26172,706,UTSA,02/18/2009,66,73,Away,,,1618
26172,402,McNeese St.,02/21/2009,49,46,Home,,,1386
26172,655,Southeastern La.,02/25/2009,68,70,Away,,,818
26172,676,Stephen F. Austin,02/28/2009,66,71,Home,,,1670
26172,346,Lamar,03/04/2009,69,60,Home,,,1352
26172,702,Texas-Arlington,03/07/2009,79,66,Away,,,759
26172,702,Texas-Arlington,03/12/2009,79,72,Neutral,"Katy, TX",,968
26172,676,Stephen F. Austin,03/13/2009,60,63,Neutral,"Katy, TX",,1510
2,,Hillsdale Baptist,11/17/2008,99,58,Home,,,978
2,1045,Dallas Baptist,11/20/2008,99,108,Home,,1 OT,656
2,,Huston-Tillotson,11/22/2008,90,92,Home,,2 OT,250
2,30088,Tex. Permian Basin,11/24/2008,89,85,Away,,,500
2,1045,Dallas Baptist,12/02/2008,65,77,Away,,,750
2,1371,Southeastern Okla.,12/06/2008,86,69,Home,,,350
2,8965,East Central,12/08/2008,102,70,Home,,,300
