opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Southwest (NM),11/13/2015,94,63,Home,,,1150,,2016,2
Howard Payne,11/17/2015,70,56,Home,,,1075,2741,2016,2
Portland,11/22/2015,57,87,Away,,,1541,551,2016,2
Colorado St.,11/24/2015,100,108,Away,,2 OT,2801,156,2016,2
Florida A&M,11/27/2015,72,62,Neutral,"Corpus Christi, TX",,176,228,2016,2
Oakland,11/28/2015,57,85,Neutral,"Corpus Christi, TX",,168,514,2016,2
New Hampshire,12/03/2015,75,86,Home,,,1450,469,2016,2
Nebraska,12/05/2015,63,73,Away,,,15491,463,2016,2
Schreiner,12/12/2015,69,46,Home,,,512,1355,2016,2
UC Riverside,12/18/2015,56,60,Home,,,1002,111,2016,2
TCU,12/20/2015,69,80,Away,,,5791,698,2016,2
Drake,12/22/2015,70,87,Away,,,2701,189,2016,2
Hillsdale Baptist,12/30/2015,90,48,Home,,,1230,,2016,2
Central Ark.,01/02/2016,62,61,Away,,,512,1004,2016,2
Nicholls St.,01/09/2016,62,63,Away,,,1297,483,2016,2
Northwestern St.,01/12/2016,87,72,Home,,,1512,508,2016,2
Stephen F. Austin,01/16/2016,62,97,Away,,,3873,676,2016,2
McNeese St.,01/19/2016,75,67,Home,,,1619,402,2016,2
Incarnate Word,01/23/2016,60,74,Away,,,1722,2743,2016,2
Sam Houston St.,01/25/2016,51,72,Away,,,1051,624,2016,2
Lamar,01/30/2016,80,71,Home,,,2103,346,2016,2
Houston Baptist,02/02/2016,79,72,Home,,,1226,287,2016,2
Southeastern La.,02/06/2016,60,81,Away,,,763,655,2016,2
Lamar,02/08/2016,71,67,Away,,,1743,346,2016,2
Sam Houston St.,02/15/2016,71,84,Home,,,1075,624,2016,2
Houston Baptist,02/18/2016,71,73,Away,,,827,287,2016,2
Southeastern La.,02/21/2016,91,80,Home,,,1065,655,2016,2
A&M-Corpus Christi,02/23/2016,59,65,Away,,,1428,26172,2016,2
New Orleans,02/27/2016,87,84,Home,,,1987,474,2016,2
Incarnate Word,03/03/2016,70,74,Home,,,1633,2743,2016,2
A&M-Corpus Christi,03/05/2016,69,74,Home,,,1363,26172,2016,2
Cal St. Monterey Bay,11/13/2015,75,72,Neutral,"San Rafael, Calif.",,125,30055,2016,30123
Sonoma St.,11/14/2015,57,55,Neutral,"San Rafael, CA",,127,645,2016,30123
San Fran. St.,11/20/2015,53,72,Neutral,"Rohnert Park, CA",,78,628,2016,30123
Sonoma St.,11/21/2015,56,77,Away,,,322,645,2016,30123
Chico St.,11/24/2015,67,81,Home,,,117,95,2016,30123
San Fran. St.,11/28/2015,72,73,Home,,1 OT,98,628,2016,30123
Notre Dame de Namur,12/05/2015,66,56,Away,,,135,30056,2016,30123
Fresno Pacific,12/12/2015,59,70,Away,,,278,30147,2016,30123
Dominican (CA),12/17/2015,72,66,Home,,,95,30118,2016,30123
Fresno Pacific,12/19/2015,85,98,Home,,,98,30147,2016,30123
Holy Names,01/05/2016,60,71,Away,,,96,30175,2016,30123
Point Loma,01/07/2016,64,71,Home,,,42,30149,2016,30123
Hawaii Pacific,01/09/2016,49,73,Home,,,88,2696,2016,30123
Hawaii Hilo,01/14/2016,69,72,Away,,,411,2697,2016,30123
Hawaii Pacific,01/16/2016,72,79,Away,,,178,2696,2016,30123
BYU-Hawaii,01/19/2016,69,111,Away,,,409,2685,2016,30123
Azusa Pacific,01/23/2016,71,85,Home,,,153,30146,2016,30123
Concordia (CA),01/27/2016,54,85,Home,,,98,30199,2016,30123
Chaminade,01/30/2016,87,100,Home,,,86,133,2016,30123
Holy Names,02/03/2016,66,58,Home,,,112,30175,2016,30123
Dixie St.,02/11/2016,68,98,Away,,,1561,30095,2016,30123
Concordia (CA),02/13/2016,65,79,Away,,,300,30199,2016,30123
Point Loma,02/15/2016,70,78,Away,,,214,30149,2016,30123
Dominican (CA),02/20/2016,63,71,Away,,,254,30118,2016,30123
California Baptist,02/23/2016,69,77,Home,,,103,30135,2016,30123
Notre Dame de Namur,02/27/2016,70,67,Home,,,143,30056,2016,30123
Angelo St.,11/13/2015,71,75,Neutral,"Stephenville, TX",,134,25,2016,929
Tarleton St.,11/14/2015,77,84,Away,,,2642,1395,2016,929
Midwestern St.,11/21/2015,87,95,Home,,,457,1222,2016,929
Carroll (MT),11/27/2015,89,74,Away,,,100,,2016,929
Rocky Mountain,11/28/2015,90,92,Away,,1 OT,100,,2016,929
Fort Lewis,12/05/2015,73,65,Home,,,985,1083,2016,929
Colo. Christian,12/11/2015,105,95,Home,,,475,11403,2016,929
Colorado Mines,12/12/2015,61,83,Home,,,538,155,2016,929
Western St.,12/18/2015,93,91,Away,,,320,2759,2016,929
Colorado St.-Pueblo,12/19/2015,63,84,Away,,,831,2720,2016,929
MSU Denver,01/01/2016,71,74,Home,,,412,413,2016,929
UC-Colo. Springs,01/02/2016,79,75,Home,,,438,9754,2016,929
Colorado Mines,01/08/2016,71,85,Away,,,303,155,2016,929
Colo. Christian,01/09/2016,89,77,Away,,,303,11403,2016,929
