player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Belot, Richard",Fr.,2003-04,,,6,0,3,0.000,0,1,0.000,0,0,,0,,0,,0,,0,,0,,,,,,2004,22
"Boma, Guy",Jr.,2003-04,F,78,27,36,86,0.419,0,0,,8,24,0.333,105,3.889,10,0.370,9,0.333,10,0.370,80,2.963,,,,,2004,22
"Brown, Richard",Jr.,2003-04,G,73,25,27,63,0.429,5,18,0.278,6,10,0.600,40,1.600,18,0.720,0,,11,0.440,65,2.600,,,,,2004,22
"Brown, Alonzo",So.,2003-04,G,70,28,26,62,0.419,10,30,0.333,8,12,0.667,24,0.857,29,1.036,1,0.036,13,0.0,70,2.500,,,,,2004,22
"Chase, Kwana",So.,2003-04,F,76,4,14,43,0.326,2,7,0.286,5,6,0.833,15,3.750,3,0.750,0,,1,0.250,35,8.750,,,,,2004,22
"Clarke, Dwaine",Jr.,2003-04,F,76,28,59,139,0.424,10,32,0.313,27,41,0.659,103,3.679,10,0.357,8,0.286,8,0.286,155,5.536,,,,,2004,22
"Cumberbatch, Brock",Sr.,2003-04,C,80,27,54,109,0.495,0,0,,18,43,0.419,129,4.778,13,0.481,13,0.481,9,0.333,126,4.667,,,,,2004,22
"Huggins, John",So.,2003-04,G,74,28,135,331,0.408,51,143,0.357,70,86,0.814,121,4.321,41,1.464,1,0.0,36,1.286,391,13.964,,,,,2004,22
"Lee, Anthony",Jr.,2003-04,G,75,26,81,216,0.375,28,85,0.329,30,46,0.652,104,4.000,30,1.154,0,,20,0.769,220,8.462,,,,,2004,22
"Macho, Joseph",Fr.,2003-04,,,6,0,2,0.000,0,1,0.000,1,2,0.500,0,,0,,0,,1,0.167,1,0.167,,,,,2004,22
"Riley, Andre",Sr.,2003-04,F,80,23,90,207,0.435,7,31,0.226,56,73,0.767,112,4.870,14,0.609,27,1.174,23,1.000,243,10.565,,,,,2004,22
"Sanddell, Daniel",Sr.,2003-04,G,77,26,32,82,0.390,12,36,0.333,17,25,0.680,46,1.769,14,0.538,4,0.154,7,0.269,93,3.577,,,,,2004,22
"Sinvilcin, Shaaron",Sr.,2003-04,G,72,28,117,260,0.450,45,115,0.391,47,64,0.734,98,3.500,113,4.036,3,0.107,44,1.571,326,11.643,,,,,2004,22
"Brown, Justin",Fr.,2003-04,,,27,51,85,0.600,0,0,,29,57,0.509,132,4.889,14,0.519,21,0.778,10,0.370,131,4.852,,,,,2004,35
"Campbell, Mike",Jr.,2003-04,C,76,,,,,,,,,,,,,,,,,,,,,,,,,2004,35
"Church, Mark",Fr.,2003-04,,,27,65,141,0.461,7,27,0.259,26,43,0.605,92,3.407,28,1.037,2,0.074,21,0.778,163,6.037,,,,,2004,35
"Emmons, Greg",Fr.,2003-04,,,27,92,205,0.449,41,109,0.376,46,67,0.687,135,5.000,32,1.185,7,0.259,19,0.704,271,10.037,,,,,2004,35
"Engler, Matt",Fr.,2003-04,,,8,10,24,0.417,0,0,,15,17,0.882,21,2.625,0,,2,0.250,1,0.125,35,4.375,,,,,2004,35
"Fowler, Michael",Fr.,2003-04,,,27,104,261,0.398,15,48,0.313,55,86,0.640,90,3.333,104,3.852,2,0.074,27,1.000,278,10.296,,,,,2004,35
