opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Texas A&M Int'l,11/22/2003,94,75,Home,,,2023,,2004,26172
Alcorn St.,11/25/2003,99,59,Home,,,1897,17,2004,26172
Baylor,11/29/2003,62,69,Away,,,4378,51,2004,26172
Sam Houston St.,12/03/2003,76,66,Home,,,1303,624,2004,26172
Morehead St.,12/06/2003,84,85,Away,,,2418,444,2004,26172
Air Force,12/09/2003,53,56,Home,,,1977,721,2004,26172
Texas A&M,12/13/2003,82,80,Away,,,4544,697,2004,26172
Kansas St.,12/20/2003,50,89,Away,,,5762,327,2004,26172
Prairie View,12/23/2003,80,51,Home,,,1274,553,2004,26172
Drake,12/29/2003,78,72,Home,,,2022,189,2004,26172
Ga. Southern,12/30/2003,57,70,Home,,,1866,253,2004,26172
Binghamton,01/04/2004,56,47,Away,,,1538,62,2004,26172
Oklahoma St.,01/06/2004,52,84,Away,,,8520,521,2004,26172
Texas Southern,01/12/2004,77,67,Home,,,1990,699,2004,26172
IPFW,01/17/2004,77,73,Away,,,3234,308,2004,26172
Chicago St.,01/19/2004,81,89,Away,,,558,136,2004,26172
Air Force,01/21/2004,37,61,Away,,,2638,721,2004,26172
Murray St.,01/26/2004,80,68,Home,,,1842,454,2004,26172
Alcorn St.,01/29/2004,84,73,Away,,,250,17,2004,26172
Schreiner,02/02/2004,90,69,Home,,,1245,1355,2004,26172
Northern Colo.,02/07/2004,88,70,Home,,,2175,502,2004,26172
Tex.-Pan American,02/14/2004,72,90,Away,,,1865,536,2004,26172
Central Baptist,02/21/2004,88,61,Home,,,1979,,2004,26172
Murray St.,02/23/2004,53,73,Away,,,3594,454,2004,26172
Savannah St.,02/25/2004,82,69,Away,,,621,632,2004,26172
Tex.-Pan American,02/28/2004,69,74,Home,,,2110,536,2004,26172
Tex. Permian Basin,11/15/2003,96,75,Home,,,500,,2004,2
Paul Quinn,11/21/2003,92,85,Home,,,500,,2004,2
S'western Assemblies,11/22/2003,75,54,Home,,,400,,2004,2
St. Edward's,11/25/2003,102,90,Away,,1 OT,200,1334,2004,2
Southeastern Okla.,12/04/2003,64,66,Away,,,500,1371,2004,2
East Central,12/06/2003,69,73,Away,,,200,8965,2004,2
Dallas Christian,12/13/2003,115,62,Home,,,500,,2004,2
St. Edward's,12/19/2003,84,71,Home,,,400,1334,2004,2
Rhema (not a 4-year),12/20/2003,79,41,Home,,,500,,2004,2
Texas St.,12/30/2003,70,77,Away,,,1308,670,2004,2
Cameron,01/03/2004,79,75,Home,,,1750,996,2004,2
Southwestern Okla.,01/05/2004,62,70,Home,,,1000,8744,2004,2
Tarleton St.,01/08/2004,66,79,Away,,,1012,1395,2004,2
Central Okla.,01/15/2004,76,73,Home,,,1500,1009,2004,2
Northeastern St.,01/17/2004,54,67,Home,,,1200,12810,2004,2
Angelo St.,01/20/2004,85,71,Home,,,1200,25,2004,2
Midwestern St.,01/22/2004,78,82,Home,,1 OT,1500,1222,2004,2
Eastern N.M.,01/29/2004,61,87,Away,,,1500,206,2004,2
West Tex. A&M,01/31/2004,61,76,Away,,,2302,767,2004,2
Tex. A&M-Commerce,02/05/2004,68,65,Home,,,1200,199,2004,2
Tex. A&M-Kingsville,02/07/2004,64,66,Home,,,750,696,2004,2
Tex. A&M-Commerce,02/12/2004,73,91,Away,,,808,199,2004,2
Tex. A&M-Kingsville,02/14/2004,58,83,Away,,,580,696,2004,2
Midwestern St.,02/21/2004,82,81,Away,,,2089,1222,2004,2
Angelo St.,02/23/2004,87,93,Away,,,1000,25,2004,2
West Tex. A&M,02/26/2004,66,67,Home,,,1200,767,2004,2
Eastern N.M.,02/28/2004,75,85,Home,,,200,206,2004,2
Westminster (UT),11/21/2003,73,68,Home,,1 OT,1175,,2004,929
Northern Colo.,11/22/2003,77,74,Home,,,1740,502,2004,929
Humboldt St.,11/26/2003,69,89,Neutral,"Laie, HI",,110,291,2004,929
BYU-Hawaii,11/28/2003,63,87,Away,,,430,2685,2004,929
Hawaii Pacific,11/29/2003,74,71,Away,,,105,2696,2004,929
Western N.M.,12/05/2003,82,66,Neutral,"Durango, CO",,62,1445,2004,929
Johnson & Wales (CO),12/06/2003,83,68,Neutral,"Durango, CO",,49,,2004,929
Metro St.,12/12/2003,50,102,Home,,,690,413,2004,929
Chadron St.,12/13/2003,50,62,Home,,,427,1012,2004,929
Utah Valley,12/16/2003,57,79,Away,,,756,30024,2004,929
Westminster (UT),12/18/2003,66,61,Away,,,300,,2004,929
Northwest Nazarene,12/19/2003,90,82,Neutral,"Salt Lake City, UT",,75,1274,2004,929
Regis (CO),12/31/2003,58,74,Away,,,231,568,2004,929
Northern Colo.,01/02/2004,74,85,Away,,,673,502,2004,929
Neb.-Kearney,01/09/2004,73,88,Home,,,628,1156,2004,929
Fort Hays St.,01/10/2004,61,50,Home,,,715,9011,2004,929
Colorado Mines,01/16/2004,66,63,Away,,,592,155,2004,929
Colo. Christian,01/17/2004,64,75,Away,,,437,11403,2004,929
Colorado St.-Pueblo,01/23/2004,68,67,Home,,,1743,2720,2004,929
N.M. Highlands,01/24/2004,79,68,Home,,,1712,8577,2004,929
Western St.,01/30/2004,72,64,Away,,,584,2759,2004,929
UC-Colo. Springs,01/31/2004,76,65,Away,,,233,9754,2004,929
Fort Lewis,02/03/2004,92,78,Away,,,792,1083,2004,929
Colorado Mesa,02/07/2004,45,75,Away,,,2033,11416,2004,929
Western St.,02/13/2004,98,78,Home,,,1940,2759,2004,929
UC-Colo. Springs,02/14/2004,95,68,Home,,,1462,9754,2004,929
Fort Lewis,02/17/2004,64,85,Home,,,2008,1083,2004,929
Colorado Mesa,02/20/2004,60,85,Home,,,1011,11416,2004,929
N.M. Highlands,02/27/2004,93,92,Away,,,233,8577,2004,929
Colorado St.-Pueblo,02/28/2004,66,90,Away,,,1834,2720,2004,929
Metro St.,03/03/2004,60,88,Away,,,562,413,2004,929
Mass.-Lowell,11/15/2003,69,89,Away,,,302,368,2004,3
Dominican (NY),11/21/2003,51,40,Away,,,137,8956,2004,3
Caldwell,11/22/2003,77,74,Neutral,"Orangeburg, NY",1 OT,137,995,2004,3
Molloy,11/25/2003,67,66,Away,,,400,437,2004,3
Mercy,12/04/2003,77,58,Away,,,75,407,2004,3
New Haven,12/09/2003,48,67,Home,,,331,470,2004,3
Philadelphia U.,12/13/2003,71,84,Away,,,325,543,2004,3
St. Thomas Aquinas,01/06/2004,77,55,Home,,,252,1348,2004,3
Queens (NY),01/08/2004,69,71,Away,,,94,560,2004,3
Bridgeport,01/10/2004,50,61,Away,,,144,74,2004,3
Dowling,01/14/2004,68,51,Home,,,184,2692,2004,3
Concordia (NY),01/17/2004,80,71,Away,,,104,162,2004,3
Queens (NY),01/20/2004,51,48,Home,,,113,560,2004,3
Concordia (NY),01/22/2004,66,57,Home,,,216,162,2004,3
Southampton,01/24/2004,66,69,Away,,,121,2753,2004,3
C.W. Post,01/26/2004,69,65,Home,,,215,362,2004,3
Molloy,01/28/2004,74,54,Home,,,136,437,2004,3
NYIT,01/31/2004,66,74,Home,,,303,477,2004,3
NYIT,02/05/2004,61,68,Away,,,52,477,2004,3
C.W. Post,02/07/2004,56,70,Away,,,250,362,2004,3
Mercy,02/11/2004,72,63,Home,,,121,407,2004,3
New Haven,02/14/2004,67,80,Away,,,200,470,2004,3
Philadelphia U.,02/17/2004,57,67,Home,,,313,543,2004,3
Southampton,02/19/2004,71,57,Home,,,194,2753,2004,3
St. Thomas Aquinas,02/21/2004,53,74,Away,,,179,1348,2004,3
Bridgeport,02/25/2004,60,59,Home,,,413,74,2004,3
Dowling,02/28/2004,59,57,Away,,,75,2692,2004,3
NYIT,03/03/2004,54,70,Away,,,194,477,2004,3
Wilkes,11/21/2003,71,74,Neutral,"Elizabethtown, PA",,150,784,2004,4
Elizabethtown,11/22/2003,78,88,Away,,,150,211,2004,4
Elizabethtown,11/29/2003,80,77,Neutral,"York, PA",,155,211,2004,4
Neumann,11/30/2003,68,62,Neutral,"York, PA",,125,1254,2004,4
Mich.-Dearborn,12/04/2003,80,88,Home,,,543,,2004,4
Concordia (MI),12/16/2003,78,66,Home,,,200,,2004,4
Mich.-Dearborn,12/22/2003,87,61,Away,,,50,,2004,4
Notre Dame (OH),12/28/2003,97,87,Away,,,75,,2004,4
Indiana Tech,12/29/2003,75,92,Neutral,"Cleveland, OH",,75,,2004,4
Bluffton,01/03/2004,78,67,Away,,,369,987,2004,4
Calvin,01/07/2004,78,85,Away,,,1380,114,2004,4
Hope,01/10/2004,77,71,Home,,,864,286,2004,4
Trine,01/14/2004,96,123,Home,,,567,,2004,4
Alma,01/17/2004,79,65,Away,,,108,21,2004,4
Albion,01/21/2004,69,72,Away,,,506,15,2004,4
Kalamazoo,01/24/2004,67,60,Away,,,350,326,2004,4
Siena Heights,01/26/2004,77,76,Home,,,1800,,2004,4
Olivet,01/28/2004,85,68,Home,,,500,525,2004,4
Calvin,01/31/2004,76,62,Home,,,1000,114,2004,4
Hope,02/04/2004,83,87,Away,,,2471,286,2004,4
Trine,02/07/2004,106,117,Away,,,300,,2004,4
Alma,02/11/2004,94,74,Home,,,500,21,2004,4
Albion,02/14/2004,56,74,Home,,,1000,15,2004,4
Kalamazoo,02/18/2004,74,71,Home,,,400,326,2004,4
Olivet,02/21/2004,62,64,Away,,,555,525,2004,4
Olivet,02/25/2004,88,67,Home,,,1000,525,2004,4
Hope,02/27/2004,86,82,Away,,,2712,286,2004,4
Calvin,02/28/2004,67,93,Neutral,"Holland, MI",,1501,114,2004,4
Ark.-Pine Bluff,11/22/2003,63,40,Home,,,1023,2678,2004,721
Navy,11/28/2003,86,46,Away,,,2043,726,2004,721
Belmont,11/30/2003,38,46,Away,,,747,14927,2004,721
Auburn,12/07/2003,49,68,Away,,,5467,37,2004,721
A&M-Corpus Christi,12/09/2003,56,53,Away,,,1977,26172,2004,721
Charleston So.,12/20/2003,67,46,Home,,,1041,48,2004,721
Prairie View,12/27/2003,59,46,Neutral,"Berkeley, CA",,9910,553,2004,721
California,12/28/2003,49,44,Away,,,10124,107,2004,721
Milwaukee,01/02/2004,71,49,Home,,,2028,797,2004,721
Savannah St.,01/06/2004,72,35,Home,,,1216,632,2004,721
IPFW,01/09/2004,64,44,Home,,,1620,308,2004,721
Colorado St.,01/12/2004,65,57,Away,,,4012,156,2004,721
New Mexico,01/17/2004,68,42,Away,,,18018,473,2004,721
A&M-Corpus Christi,01/21/2004,61,37,Home,,,2638,26172,2004,721
BYU,01/24/2004,74,52,Home,,,6359,77,2004,721
Utah,01/26/2004,62,49,Home,,,5788,732,2004,721
San Diego St.,01/31/2004,57,43,Away,,,11027,626,2004,721
UNLV,02/02/2004,50,63,Away,,,10610,465,2004,721
Wyoming,02/07/2004,83,71,Home,,,5939,811,2004,721
Colorado St.,02/09/2004,52,44,Home,,,5763,156,2004,721
New Mexico,02/14/2004,51,50,Home,,,5641,473,2004,721
Tex.-Pan American,02/16/2004,35,37,Away,,,3623,536,2004,721
Utah,02/21/2004,59,57,Away,,,12410,732,2004,721
BYU,02/23/2004,61,67,Away,,,17152,77,2004,721
UNLV,02/28/2004,72,70,Home,,,6014,465,2004,721
San Diego St.,03/01/2004,61,49,Home,,,5811,626,2004,721
Wyoming,03/06/2004,52,47,Away,,,10034,811,2004,721
Colorado St.,03/11/2004,48,60,Neutral,"Denver, CO",,9781,156,2004,721
North Carolina,03/18/2004,52,63,Neutral,"Denver, CO",,19405,457,2004,721
Cincinnati,11/22/2003,66,88,Away,,,11134,140,2004,5
Radford,11/29/2003,73,63,Away,,,498,563,2004,5
Hampton,12/01/2003,96,82,Away,,,1866,270,2004,5
James Madison,12/06/2003,78,70,Home,,,2193,317,2004,5
North Carolina,12/14/2003,53,64,Away,,,17051,457,2004,5
Duquesne,12/17/2003,64,61,Home,,1 OT,2875,194,2004,5
Cleveland St.,12/20/2003,61,59,Away,,,2402,148,2004,5
Wright St.,12/30/2003,85,67,Home,,,2500,810,2004,5
Western Mich.,01/03/2004,75,83,Home,,,2819,774,2004,5
Northern Ill.,01/07/2004,73,66,Home,,,2228,503,2004,5
Miami (OH),01/10/2004,60,68,Away,,,2537,414,2004,5
Bowling Green,01/14/2004,72,77,Home,,,2723,71,2004,5
Toledo,01/17/2004,79,87,Away,,,6525,709,2004,5
Ohio,01/20/2004,84,76,Home,,,2210,519,2004,5
Central Mich.,01/24/2004,75,62,Home,,,4337,129,2004,5
Buffalo,01/28/2004,83,89,Away,,,1613,86,2004,5
Kent St.,01/31/2004,66,77,Away,,,6407,331,2004,5
Marshall,02/02/2004,85,69,Home,,,2315,388,2004,5
Ball St.,02/04/2004,71,77,Away,,1 OT,4309,47,2004,5
Eastern Mich.,02/07/2004,54,77,Away,,,3547,204,2004,5
Miami (OH),02/11/2004,48,44,Home,,,2651,414,2004,5
Ohio,02/14/2004,79,83,Away,,,6008,519,2004,5
Central Mich.,02/18/2004,87,66,Away,,,1909,129,2004,5
Drake,02/21/2004,78,82,Home,,1 OT,2453,189,2004,5
Kent St.,02/29/2004,64,61,Home,,,4000,331,2004,5
Marshall,03/03/2004,68,78,Away,,,3983,388,2004,5
Buffalo,03/06/2004,60,68,Home,,,2579,86,2004,5
Ball St.,03/08/2004,72,76,Away,,,4234,47,2004,5
Columbus St.,11/15/2003,76,86,Neutral,"Montevallo, AL",,235,159,2004,10
Rollins,11/16/2003,52,65,Neutral,"Montevallo, AL",,175,584,2004,10
Oakland City,11/19/2003,81,64,Away,,,547,1278,2004,10
Athens St.,11/22/2003,71,54,Away,,,250,,2004,10
LeMoyne-Owen,11/28/2003,63,59,Neutral,"Birmingham, AL",,352,350,2004,10
Miles,11/29/2003,75,69,Away,,,487,422,2004,10
Oakland City,12/06/2003,63,58,Home,,,787,1278,2004,10
Carson-Newman,12/13/2003,56,65,Away,,,855,1000,2004,10
Miles,12/19/2003,72,60,Home,,,742,422,2004,10
Harding,12/20/2003,85,81,Home,,1 OT,796,1116,2004,10
Athens St.,01/02/2004,76,77,Home,,1 OT,944,,2004,10
Carson-Newman,01/03/2004,74,56,Home,,,830,1000,2004,10
West Fla.,01/10/2004,47,49,Home,,,950,11740,2004,10
Valdosta St.,01/12/2004,46,53,Home,,,955,734,2004,10
Montevallo,01/17/2004,64,68,Away,,1 OT,1675,1238,2004,10
West Ala.,01/19/2004,58,47,Away,,,500,358,2004,10
Lincoln Memorial,01/24/2004,63,61,Away,,,1104,1176,2004,10
West Ga.,01/27/2004,67,81,Home,,,825,766,2004,10
North Ala.,01/31/2004,75,72,Away,,,2219,487,2004,10
Fla. Gulf Coast,02/03/2004,71,82,Home,,,602,,2004,10
West Ala.,02/07/2004,73,55,Home,,,1184,358,2004,10
Montevallo,02/09/2004,71,73,Home,,,954,1238,2004,10
Valdosta St.,02/14/2004,54,62,Away,,,1087,734,2004,10
West Fla.,02/16/2004,57,44,Away,,,633,11740,2004,10
Lincoln Memorial,02/21/2004,89,64,Home,,,973,1176,2004,10
West Ga.,02/24/2004,73,94,Away,,,1789,766,2004,10
North Ala.,02/28/2004,70,80,Home,,,1523,487,2004,10
