opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Oklahoma St.,11/11/2011,39,71,Away,,,9377,521,2012,26172
Denver,11/14/2011,58,65,Home,,,1226,183,2012,26172
Utah St.,11/22/2011,58,55,Home,,1 OT,1382,731,2012,26172
Texas A&M,11/26/2011,43,56,Away,,,6114,697,2012,26172
Texas Tech,12/01/2011,54,61,Home,,,2719,700,2012,26172
Houston,12/03/2011,66,87,Away,,,3052,288,2012,26172
South Ala.,12/15/2011,64,66,Home,,,1159,646,2012,26172
West Virginia,12/17/2011,64,84,Away,,,7226,768,2012,26172
Missouri St.,12/19/2011,53,66,Away,,,5002,669,2012,26172
Bethune-Cookman,12/22/2011,52,61,Neutral,"Las Vegas, NV",,1526,61,2012,26172
Kennesaw St.,12/23/2011,65,69,Neutral,"Las Vegas, NV",,1526,1157,2012,26172
Rice,12/28/2011,66,78,Away,,,1479,574,2012,26172
Lamar,01/04/2012,58,74,Home,,,1078,346,2012,26172
McNeese St.,01/07/2012,69,71,Home,,,1028,402,2012,26172
UTSA,01/11/2012,50,49,Away,,,1161,706,2012,26172
Southeastern La.,01/14/2012,55,67,Away,,,465,655,2012,26172
Texas-Arlington,01/18/2012,73,77,Home,,,840,702,2012,26172
Sam Houston St.,01/21/2012,50,49,Away,,,1168,624,2012,26172
Texas St.,01/25/2012,74,68,Home,,,1528,670,2012,26172
Stephen F. Austin,01/28/2012,49,64,Home,,,2327,676,2012,26172
Nicholls St.,02/01/2012,61,65,Away,,,632,483,2012,26172
Northwestern St.,02/04/2012,68,82,Away,,,1523,508,2012,26172
Savannah St.,02/06/2012,49,55,Away,,,1445,632,2012,26172
Sam Houston St.,02/11/2012,53,61,Home,,,1268,624,2012,26172
Texas St.,02/15/2012,61,79,Away,,,1973,670,2012,26172
Central Mich.,02/18/2012,49,47,Away,,,1931,129,2012,26172
UTSA,02/22/2012,82,86,Home,,1 OT,1197,706,2012,26172
Stephen F. Austin,02/25/2012,41,74,Away,,,1909,676,2012,26172
Texas-Arlington,02/29/2012,64,78,Away,,,4109,702,2012,26172
Central Ark.,03/03/2012,67,65,Home,,,1550,1004,2012,26172
Truman,11/11/2011,70,68,Home,,,715,499,2012,2
East Central,11/12/2011,89,72,Home,,,420,8965,2012,2
Tex. Permian Basin,11/18/2011,65,60,Away,,,450,30088,2012,2
Tex. A&M Int'l,11/19/2011,69,71,Neutral,"Odessa, TX",,120,30090,2012,2
Tex. Permian Basin,11/22/2011,80,69,Home,,,450,30088,2012,2
Dallas Baptist,11/29/2011,72,80,Away,,,438,1045,2012,2
S'western Aly God,12/03/2011,86,47,Home,,,325,,2012,2
Cameron,12/10/2011,58,64,Home,,,1381,996,2012,2
West Tex. A&M,12/13/2011,58,61,Home,,,525,767,2012,2
Eastern N.M.,12/17/2011,59,68,Away,,,268,206,2012,2
Midwestern St.,12/19/2011,62,74,Away,,,2891,1222,2012,2
Dallas Baptist,12/30/2011,85,82,Home,,,272,1045,2012,2
Incarnate Word,01/03/2012,65,70,Home,,,345,2743,2012,2
Tex. A&M-Kingsville,01/07/2012,59,72,Away,,,300,696,2012,2
Tex. A&M-Commerce,01/11/2012,92,79,Away,,1 OT,381,199,2012,2
Tarleton St.,01/14/2012,53,62,Home,,,514,1395,2012,2
Angelo St.,01/17/2012,79,64,Home,,,534,25,2012,2
Angelo St.,01/21/2012,59,65,Away,,,786,25,2012,2
Paul Quinn,01/26/2012,88,70,Home,,,313,,2012,2
Arlington Baptist,01/28/2012,96,57,Home,,,403,,2012,2
Midwestern St.,01/31/2012,78,79,Home,,,572,1222,2012,2
Cameron,02/04/2012,65,77,Away,,,300,996,2012,2
West Tex. A&M,02/08/2012,49,57,Away,,,1134,767,2012,2
Eastern N.M.,02/11/2012,79,68,Home,,,1000,206,2012,2
Incarnate Word,02/15/2012,73,79,Away,,,1027,2743,2012,2
Tex. A&M-Kingsville,02/19/2012,80,70,Home,,,550,696,2012,2
Tex. A&M-Commerce,02/22/2012,72,75,Home,,,321,199,2012,2
Tarleton St.,02/25/2012,62,74,Away,,,2298,1395,2012,2
San Fran. St.,11/12/2011,61,93,Neutral,"Chico, CA",,149,628,2012,30123
Cal St. Chico,11/13/2011,36,83,Away,,,319,95,2012,30123
Cal St. East Bay,11/16/2011,70,80,Home,,,150,98,2012,30123
UC San Diego,11/19/2011,66,80,Home,,,150,112,2012,30123
Fort Lewis,11/25/2011,76,78,Neutral,"Phoenix, AZ",,221,1083,2012,30123
Seattle Pacific,11/26/2011,33,63,Neutral,"Phoenix, AZ",,236,634,2012,30123
