player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Bullard, William",Jr.,2006-07,F,77,3,3,5,0.600,2,4,0.500,0,0,,2,0.667,0,,0,,0,,8,2.667,,,,749063,2007,26172
"Daniels, Chris",Sr.,2006-07,C,84,33,194,329,0.590,8,25,0.320,109,158,0.690,220,6.667,25,0.758,53,1.606,24,0.727,505,15.303,,,,540036,2007,26172
"Engelken, Seth",Sr.,2006-07,F,79,32,54,115,0.470,18,47,0.383,37,49,0.755,65,2.031,48,1.500,3,0.094,16,0.500,163,5.094,,,,450637,2007,26172
"Ervin, Josh",Sr.,2006-07,G,73,33,84,180,0.467,31,77,0.403,69,93,0.742,109,3.303,122,3.697,1,0.030,49,1.485,268,8.121,,,,450635,2007,26172
"Holt, Jared",Sr.,2006-07,C,86,,,,,,,,,,,,,,,,,,,,,,,,450639,2007,26172
"Horne, Alex",Fr.,2006-07,G,72,,,,,,,,,,,,,,,,,,,,,,,,749062,2007,26172
"Johnson, Manuel",Jr.,2006-07,F,79,33,114,190,0.600,0,0,,69,112,0.616,153,4.636,23,0.697,8,0.242,22,0.667,297,9.000,,,,749064,2007,26172
"Matt, Slatnick",Fr.,2006-07,,,,,,,,,,,,,,,,,,,,,,,,,,780111,2007,26172
"Matt, Slatnick",Fr.,2006-07,,,,,,,,,,,,,,,,,,,,,,,,,,780110,2007,26172
"Matt, Slatnick",Fr.,2006-07,,,1,0,3,0.000,0,1,0.000,2,2,1.000,1,1.000,0,,0,,0,,2,2.000,,,,780056,2007,26172
"Menifee, Kevin",Sr.,2006-07,F,77,33,74,141,0.525,4,17,0.235,54,85,0.635,185,5.606,109,3.303,9,0.273,31,0.939,206,6.242,,,,658039,2007,26172
"Mintz, Rashad",Jr.,2006-07,G,70,5,4,16,0.250,0,6,0.000,3,4,0.750,8,1.600,25,5.000,0,,1,0.200,11,2.200,,,,658038,2007,26172
"Mitchell, Taurean",Sr.,2006-07,G,73,33,82,172,0.477,24,60,0.400,67,82,0.817,71,2.152,131,3.970,0,,53,1.606,255,7.727,,,,450636,2007,26172
"Montalvo, Adan",Fr.,2006-07,G,72,14,3,4,0.750,1,1,1.000,1,4,0.250,3,0.214,3,0.214,0,,0,,8,0.571,,,,749061,2007,26172
"Nelson, Carl",So.,2006-07,C,82,29,24,44,0.545,0,0,,14,26,0.538,47,1.621,2,0.069,11,0.379,6,0.207,62,2.138,,,,540037,2007,26172
"Nelson, Chad",Fr.,2006-07,F,79,8,0,3,0.000,0,1,0.000,2,2,1.000,1,0.125,0,,0,,2,0.250,2,0.250,,,,749066,2007,26172
"Roberson, Brandon",Fr.,2006-07,G,70,20,4,29,0.138,2,20,0.100,2,8,0.250,12,0.600,14,0.700,0,,7,0.350,12,0.600,,,,749065,2007,26172
"Slatnick, Matt",So.,2006-07,G,71,21,23,45,0.511,7,18,0.389,9,13,0.692,9,0.429,10,0.476,0,,5,0.238,62,2.952,,,,658036,2007,26172
"Smith, Cedric",Sr.,2006-07,F,79,33,110,187,0.588,2,3,0.667,97,134,0.724,113,3.424,30,0.909,9,0.273,12,0.364,319,9.667,,,,658040,2007,26172
"Taylor, Dominique",So.,2006-07,G,72,24,6,16,0.375,3,8,0.375,1,2,0.500,8,0.333,7,0.292,0,,4,0.167,16,0.667,,,,658034,2007,26172
"Teague, Cameron",Jr.,2006-07,F,77,21,4,8,0.500,0,1,0.000,3,4,0.750,16,0.762,1,0.048,0,,1,0.048,11,0.524,,,,658041,2007,26172
"Washington, Josh",Sr.,2006-07,G,75,32,129,260,0.496,90,189,0.476,60,69,0.870,52,1.625,45,1.406,1,0.031,24,0.750,408,12.750,,,,658035,2007,26172
"Alexander, Norman",Sr.,2006-07,G,75,26,71,158,0.449,47,108,0.435,22,32,0.688,98,3.769,15,0.577,17,0.654,21,0.808,211,8.115,,,,654632,2007,2
"Brooks, Philip",Jr.,2006-07,G,74,25,119,253,0.470,38,91,0.418,112,140,0.800,112,4.480,75,3.000,1,0.040,29,1.160,388,15.520,,,,760118,2007,2
"Hergenreter, Chris",Fr.,2006-07,F,77,,,,,,,,,,,,,,,,,,,,,,,,760125,2007,2
"Holson, Cameron",So.,2006-07,F,77,26,69,170,0.406,17,61,0.279,68,99,0.687,105,4.038,26,1.000,3,0.115,34,1.308,223,8.577,,,,654631,2007,2
"Hubner, Marcos",Jr.,2006-07,F,80,16,56,122,0.459,4,23,0.174,50,79,0.633,88,5.500,25,1.563,11,0.688,14,0.875,166,10.375,,,,760122,2007,2
"Lambert, Riley",Fr.,2006-07,G,70,26,20,50,0.400,9,35,0.257,7,12,0.583,39,1.500,44,1.692,0,,14,0.538,56,2.154,,,,760127,2007,2
"Lopez, Scott",Sr.,2006-07,G,74,6,2,5,0.400,1,3,0.333,0,0,,4,0.667,0,,0,,0,,5,0.833,,,,760128,2007,2
"Nikolic, Marko",Jr.,2006-07,F,79,2,7,13,0.538,0,1,0.000,1,2,0.500,7,3.500,4,2.000,0,,3,1.500,15,7.500,,,,760123,2007,2
"Norman, Brooks",Fr.,2006-07,F,80,16,7,11,0.636,0,0,,3,7,0.429,7,0.438,3,0.188,0,,2,0.125,17,1.063,,,,760121,2007,2
"Oestreich, Spencer",Fr.,2006-07,G,76,,,,,,,,,,,,,,,,,,,,,,,,760124,2007,2
"Ross, Cortnie",Jr.,2006-07,G,75,26,91,178,0.511,8,29,0.276,97,139,0.698,141,5.423,35,1.346,8,0.308,44,1.692,287,11.038,,,,760119,2007,2
"Souza, Tiago",Sr.,2006-07,G,73,26,88,219,0.402,38,130,0.292,54,69,0.783,80,3.077,54,2.077,3,0.115,27,1.038,268,10.308,,,,654629,2007,2
"Vrzina, Igor",Sr.,2006-07,F,80,23,71,140,0.507,6,25,0.240,32,54,0.593,78,3.391,16,0.696,9,0.391,12,0.522,180,7.826,,,,760126,2007,2
"Williams, Elmo",Jr.,2006-07,G,70,26,55,130,0.423,12,41,0.293,39,52,0.750,70,2.692,81,3.115,0,,54,2.077,161,6.192,,,,760120,2007,2
"Anderson, Rajshard",Sr.,2006-07,G,75,23,41,106,0.387,26,70,0.371,12,23,0.522,56,2.435,33,1.435,0,,7,0.304,120,5.217,,,,1088010,2007,929
"Charles Jr, Larry",Jr.,2006-07,G,72,30,84,177,0.475,14,34,0.412,74,105,0.705,113,3.767,108,3.600,6,0.200,50,1.667,256,8.533,,,,441329,2007,929
"Forster, Kyle",Fr.,2006-07,G,75,20,11,25,0.440,4,8,0.500,7,13,0.538,20,1.000,9,0.450,1,0.050,10,0.500,33,1.650,,,,756947,2007,929
"Hull, David",Sr.,2006-07,G,75,27,89,211,0.422,34,105,0.324,23,31,0.742,27,1.000,40,1.481,1,0.037,14,0.519,235,8.704,,,,441321,2007,929
"Jensen, Wes",Sr.,2006-07,F,78,30,134,271,0.494,80,167,0.479,74,91,0.813,167,5.567,73,2.433,10,0.333,15,0.500,422,14.067,,,,558707,2007,929
"Johnson, Kevin",Jr.,2006-07,F,78,27,23,57,0.404,0,3,0.000,13,26,0.500,72,2.667,9,0.333,2,0.074,6,0.222,59,2.185,,,,756944,2007,929
"Moniak, Roman",Sr.,2006-07,F,77,30,199,374,0.532,44,113,0.389,114,145,0.786,158,5.267,39,1.300,3,0.100,18,0.600,556,18.533,,,,1088012,2007,929
"Mortensen, Marcus",Jr.,2006-07,G,73,29,78,164,0.476,12,35,0.343,87,105,0.829,103,3.552,102,3.517,5,0.172,37,1.276,255,8.793,,,,558711,2007,929
"Murrey, Russ",Sr.,2006-07,F,79,30,68,116,0.586,1,1,1.000,30,46,0.652,111,3.700,9,0.300,19,0.633,18,0.600,167,5.567,,,,646779,2007,929
"Stallworth, Aaron",Jr.,2006-07,G,77,17,14,41,0.341,1,15,0.067,6,12,0.500,36,2.118,12,0.706,8,0.471,6,0.353,35,2.059,,,,756948,2007,929
"Weitzeil, Michael",Fr.,2006-07,C,81,18,14,22,0.636,0,0,,7,14,0.500,41,2.278,5,0.278,10,0.556,1,0.056,35,1.944,,,,756946,2007,929
"Westover, Boden",Fr.,2006-07,G,74,8,4,10,0.400,3,8,0.375,2,3,0.667,4,0.500,3,0.375,2,0.250,0,,13,1.625,,,,756945,2007,929
"Agyemang, Oppong",Fr.,2006-07,G,73,14,0,5,0.000,0,3,0.000,1,2,0.500,12,0.857,5,0.357,0,,3,0.214,1,0.071,,,,752105,2007,3
"Blaize, Kimani",Sr.,2006-07,G,72,31,147,440,0.334,75,245,0.306,113,144,0.785,118,3.806,81,2.613,8,0.258,56,1.806,482,15.548,,,,442996,2007,3
"Cummings, Donnell",Sr.,2006-07,G,73,31,137,287,0.477,37,97,0.381,33,42,0.786,169,5.452,56,1.806,3,0.097,42,1.355,344,11.097,,,,654369,2007,3
"Farley, Steppon",Fr.,2006-07,C,80,20,8,19,0.421,0,0,,8,12,0.667,22,1.100,3,0.150,6,0.300,2,0.100,24,1.200,,,,752107,2007,3
"Jenkins, Samuel",Sr.,2006-07,G,74,31,97,257,0.377,54,166,0.325,58,88,0.659,88,2.839,44,1.419,15,0.484,37,1.194,306,9.871,,,,442992,2007,3
"Khaleel, Skyler",So.,2006-07,F,77,31,59,108,0.546,0,1,0.000,32,80,0.400,107,3.452,6,0.194,25,0.806,10,0.323,150,4.839,,,,752103,2007,3
"Mosby, Mike",Sr.,2006-07,F,78,31,155,259,0.598,0,0,,142,227,0.626,288,9.290,27,0.871,19,0.613,45,1.452,452,14.581,,,,442998,2007,3
