opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Cal St. Fullerton,11/22/2002,83,76,Neutral,"Honolulu, HI",,6823,97,2003,26172
Hawaii,11/24/2002,81,100,Away,,,6344,277,2003,26172
Trinity (TX),11/27/2002,73,49,Home,,,1801,715,2003,26172
Lamar,11/30/2002,78,94,Away,,,3092,346,2003,26172
Loyola Chicago,12/03/2002,77,94,Home,,,1619,371,2003,26172
Morehead St.,12/07/2002,88,98,Home,,,1125,444,2003,26172
LSU,12/14/2002,60,95,Away,,,7576,365,2003,26172
Howard Payne,12/17/2002,84,68,Home,,,1407,2741,2003,26172
UAB,12/19/2002,74,108,Away,,,2732,9,2003,26172
Morgan St.,12/27/2002,98,65,Home,,,1509,446,2003,26172
Oakland,12/28/2002,80,72,Home,,,1539,514,2003,26172
Savannah St.,01/04/2003,80,53,Away,,,175,632,2003,26172
Florida St.,01/06/2003,56,72,Away,,,5233,234,2003,26172
Oklahoma St.,01/08/2003,58,91,Away,,,7522,521,2003,26172
Sacramento St.,01/14/2003,80,84,Home,,,1350,102,2003,26172
Centenary (LA),01/18/2003,93,92,Away,,,1746,125,2003,26172
Arkansas St.,01/20/2003,73,100,Away,,,4521,30,2003,26172
Tex.-Pan American,01/25/2003,77,60,Home,,,2047,536,2003,26172
Oakland,01/27/2003,74,87,Away,,,1095,514,2003,26172
Sam Houston St.,02/01/2003,59,66,Away,,,1066,624,2003,26172
IPFW,02/03/2003,68,70,Home,,,1089,308,2003,26172
Central Baptist,02/06/2003,95,56,Home,,,1105,,2003,26172
Savannah St.,02/08/2003,96,77,Home,,,2078,632,2003,26172
Prairie View,02/11/2003,76,80,Away,,,1322,553,2003,26172
Tex.-Pan American,02/15/2003,58,54,Away,,,2720,536,2003,26172
UTEP,02/18/2003,77,72,Away,,,5122,704,2003,26172
Centenary (LA),02/22/2003,73,69,Home,,,1605,125,2003,26172
New Orleans,02/26/2003,63,77,Away,,,1010,474,2003,26172
Binghamton,03/01/2003,72,68,Home,,,1010,62,2003,26172
Southeastern Okla.,01/02/2002,75,63,Home,,,1200,1371,2003,2
Howard Payne,11/22/2002,81,75,Home,,,1500,2741,2003,2
St. Edward's,11/26/2002,120,78,Away,,,150,1334,2003,2
Okla. Panhandle,11/30/2002,58,81,Away,,,467,24342,2003,2
Central Okla.,12/05/2002,69,79,Away,,,1500,1009,2003,2
Northeastern St.,12/07/2002,49,88,Away,,,1000,12810,2003,2
Dallas Christian,12/14/2002,93,72,Home,,,1000,,2003,2
Ark.-Monticello,12/16/2002,81,79,Neutral,"Irving, TX",,93,8411,2003,2
St. Edward's,12/28/2002,85,80,Home,,,1000,1334,2003,2
Sul Ross St.,12/30/2002,93,87,Home,,1 OT,500,1390,2003,2
East Central,01/04/2003,63,55,Home,,,1200,8965,2003,2
Cameron,01/09/2003,90,80,Away,,,350,996,2003,2
Southwestern Okla.,01/11/2003,71,78,Away,,,918,8744,2003,2
Angelo St.,01/13/2003,76,85,Home,,,1200,25,2003,2
Tarleton St.,01/16/2003,58,81,Home,,,2000,1395,2003,2
Eastern N.M.,01/23/2003,82,97,Home,,,1500,206,2003,2
West Tex. A&M,01/25/2003,63,79,Home,,,1500,767,2003,2
Angelo St.,01/28/2003,73,70,Away,,,1300,25,2003,2
Midwestern St.,01/30/2003,82,71,Away,,,1389,1222,2003,2
Tex. A&M-Commerce,02/06/2003,68,74,Away,,,518,199,2003,2
Tex. A&M-Kingsville,02/08/2003,68,77,Away,,,500,696,2003,2
Tex. A&M-Kingsville,02/13/2003,76,74,Home,,,1500,696,2003,2
Tex. A&M-Commerce,02/15/2003,78,72,Home,,,1500,199,2003,2
West Tex. A&M,02/20/2003,64,79,Away,,,1018,767,2003,2
Eastern N.M.,02/22/2003,74,87,Away,,,1675,206,2003,2
Okla. Panhandle,02/27/2003,78,86,Home,,,1000,24342,2003,2
Midwestern St.,03/01/2003,51,68,Home,,,1500,1222,2003,2
Westminster (UT),11/22/2002,61,77,Neutral,"Gunnison, CO",,150,,2003,929
Augustana (SD),11/23/2002,84,78,Neutral,"Gunnison, CO",,125,41,2003,929
Northern Colo.,11/26/2002,73,77,Away,,,490,502,2003,929
Okla. Panhandle,11/29/2002,57,79,Away,,,225,24342,2003,929
Western N.M.,12/05/2002,77,78,Away,,,400,1445,2003,929
Metro St.,12/12/2002,54,72,Away,,,350,413,2003,929
Chadron St.,12/14/2002,67,65,Away,,1 OT,800,1012,2003,929
Okla. Panhandle,12/17/2002,85,65,Home,,,362,24342,2003,929
Regis (CO),01/04/2003,70,63,Home,,,622,568,2003,929
Neb.-Kearney,01/10/2003,64,107,Away,,,2745,1156,2003,929
Fort Hays St.,01/11/2003,51,70,Away,,,3093,9011,2003,929
Colorado Mines,01/17/2003,59,66,Home,,,1716,155,2003,929
Colo. Christian,01/18/2003,73,66,Home,,,1574,11403,2003,929
Western N.M.,01/20/2003,84,73,Home,,,488,1445,2003,929
Colorado St.-Pueblo,01/24/2003,58,61,Away,,,1136,2720,2003,929
N.M. Highlands,01/25/2003,94,62,Home,,,1688,8577,2003,929
Colorado Col.,01/28/2003,67,80,Away,,,170,154,2003,929
Western St.,01/31/2003,82,66,Home,,,2012,2759,2003,929
UC-Colo. Springs,02/01/2003,63,61,Home,,,2075,9754,2003,929
Fort Lewis,02/04/2003,64,67,Home,,,1852,1083,2003,929
Colorado Mesa,02/07/2003,89,83,Home,,,1826,11416,2003,929
Western St.,02/14/2003,73,62,Away,,,520,2759,2003,929
UC-Colo. Springs,02/15/2003,74,67,Away,,,270,9754,2003,929
Fort Lewis,02/18/2003,83,91,Away,,3 OT,673,1083,2003,929
