school_id,opponent_id,opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence
26172,1390,Sul Ross St.,11/16/2001,93,59,Home,,,2041
26172,670,Texas St.,11/25/2001,89,99,Home,,,1493
26172,371,Loyola Chicago,11/29/2001,66,86,Away,,,1128
26172,301,Illinois,12/01/2001,56,80,Away,,,16500
26172,703,Texas,12/05/2001,64,89,Away,,,6099
26172,704,UTEP,12/08/2001,56,82,Away,,,6203
26172,346,Lamar,12/15/2001,67,69,Home,,,1342
26172,629,San Francisco,12/18/2001,80,75,Home,,,1360
26172,183,Denver,12/21/2001,81,79,Home,,,1415
26172,,Wayland Baptist,12/28/2001,92,83,Home,,,2096
26172,30,Arkansas St.,12/29/2001,102,98,Home,,2 OT,1864
26172,102,Sacramento St.,01/03/2002,69,82,Away,,,887
26172,629,San Francisco,01/05/2002,63,65,Away,,,2272
26172,626,San Diego St.,01/08/2002,79,82,Home,,,1357
26172,125,Centenary (LA),01/12/2002,81,80,Away,,,1864
26172,2707,UMKC,01/14/2002,61,67,Away,,,1579
26172,1092,Gardner-Webb,01/17/2002,86,78,Home,,,1720
26172,474,New Orleans,01/24/2002,68,82,Home,,,1712
26172,536,Tex.-Pan American,01/26/2002,87,80,Away,,1 OT,3875
26172,28600,Lipscomb,01/31/2002,79,81,Away,,,1212
26172,1092,Gardner-Webb,02/02/2002,76,86,Away,,,3297
26172,183,Denver,02/05/2002,68,78,Away,,,538
26172,536,Tex.-Pan American,02/09/2002,105,110,Home,,,1250
26172,632,Savannah St.,02/13/2002,77,62,Away,,,197
26172,28600,Lipscomb,02/18/2002,75,61,Home,,,1421
26172,125,Centenary (LA),02/23/2002,77,73,Home,,,1945
26172,632,Savannah St.,02/28/2002,96,66,Home,,,2031
2,24342,Okla. Panhandle,11/16/2001,92,80,Home,,,864
2,1334,St. Edward's,11/19/2001,59,78,Home,,,875
2,24342,Okla. Panhandle,11/23/2001,53,71,Away,,,250
2,1334,St. Edward's,11/26/2001,58,75,Away,,,110
2,,Texas Col.,12/01/2001,87,71,Home,,,450
2,1009,Central Okla.,12/06/2001,89,91,Home,,,1473
2,12810,Northeastern St.,12/08/2001,52,82,Home,,,1382
2,661,Southern Ind.,12/18/2001,69,103,Away,,,1750
2,333,Ky. Wesleyan,12/20/2001,76,109,Away,,,4000
2,1371,Southeastern Okla.,01/03/2002,68,65,Away,,,400
2,8965,East Central,01/05/2002,55,76,Away,,,575
2,996,Cameron,01/10/2002,73,71,Home,,,1700
2,8744,Southwestern Okla.,01/12/2002,77,82,Home,,,1500
2,1222,Midwestern St.,01/15/2002,58,75,Away,,,792
2,199,Tex. A&M-Commerce,01/17/2002,76,74,Home,,,1043
2,696,Tex. A&M-Kingsville,01/19/2002,41,59,Home,,,1200
2,206,Eastern N.M.,01/24/2002,61,82,Away,,,750
2,767,West Tex. A&M,01/26/2002,58,80,Away,,,4941
2,25,Angelo St.,01/29/2002,114,105,Home,,1 OT,700
2,1395,Tarleton St.,01/31/2002,59,61,Home,,,1200
2,25,Angelo St.,02/05/2002,56,85,Away,,,2100
2,1395,Tarleton St.,02/09/2002,50,97,Away,,,2100
2,696,Tex. A&M-Kingsville,02/14/2002,59,103,Away,,,400
2,199,Tex. A&M-Commerce,02/16/2002,75,85,Away,,,503
2,767,West Tex. A&M,02/21/2002,70,82,Home,,,1000
2,206,Eastern N.M.,02/23/2002,70,71,Home,,,1000
929,8744,Southwestern Okla.,11/16/2001,91,83,Home,,,1648
929,1346,St. Mary's (TX),11/17/2001,49,53,Home,,,1563
929,1346,St. Mary's (TX),11/23/2001,67,73,Away,,,432
929,19117,Salem Int'l,11/24/2001,74,84,Neutral,"San Antonio, TX",,147
929,667,Southern Utah,11/27/2001,57,67,Away,,,1916
929,,Westminster (UT),11/30/2001,65,84,Neutral,"Durango, CO",,75
929,1445,Western N.M.,12/01/2001,73,69,Home,,2 OT,75
929,568,Regis (CO),12/07/2001,72,76,Away,,,285
929,11403,Colo. Christian,12/08/2001,77,80,Away,,,500
929,1012,Chadron St.,12/15/2001,74,65,Home,,,426
929,155,Colorado Mines,12/17/2001,84,75,Home,,,324
929,502,Northern Colo.,12/18/2001,86,101,Home,,,378
929,413,Metro St.,01/04/2002,71,97,Away,,,350
929,1156,Neb.-Kearney,01/11/2002,61,86,Home,,,1705
929,9011,Fort Hays St.,01/12/2002,65,75,Home,,,1430
929,1083,Fort Lewis,01/17/2002,80,87,Away,,,475
929,8577,N.M. Highlands,01/19/2002,99,106,Away,,,385
929,11416,Colorado Mesa,01/25/2002,68,76,Home,,,1338
929,2759,Western St.,01/26/2002,75,70,Home,,,2004
929,9754,UC-Colo. Springs,02/01/2002,73,66,Away,,,229
929,2720,Colorado St.-Pueblo,02/02/2002,59,85,Away,,,812
929,8577,N.M. Highlands,02/08/2002,80,102,Home,,,1936
929,1083,Fort Lewis,02/09/2002,82,94,Home,,,1548
929,2759,Western St.,02/15/2002,66,80,Away,,,450
929,11416,Colorado Mesa,02/16/2002,62,87,Away,,,1009
929,2720,Colorado St.-Pueblo,02/22/2002,78,65,Home,,,1343
929,9754,UC-Colo. Springs,02/23/2002,71,82,Home,,,1863
3,56,Bentley,11/16/2001,72,70,Away,,,1227
3,410,Merrimack,11/18/2001,90,67,Away,,,311
3,2692,Dowling,11/21/2001,93,80,Away,,,150
3,543,Philadelphia U.,12/01/2001,60,66,Away,,,450
3,1348,St. Thomas Aquinas,12/05/2001,73,52,Home,,,425
3,368,Mass.-Lowell,12/08/2001,67,54,Home,,,315
3,162,Concordia (NY),12/12/2001,101,71,Home,,,266
3,477,NYIT,12/15/2001,84,69,Away,,,100
3,560,Queens (NY),01/05/2002,74,57,Home,,,300
3,470,New Haven,01/07/2002,69,56,Away,,,75
3,437,Molloy,01/09/2002,74,60,Home,,,300
3,362,C.W. Post,01/12/2002,75,65,Home,,,315
3,74,Bridgeport,01/15/2002,78,59,Away,,,255
3,2753,Southampton,01/17/2002,81,67,Home,,,367
3,407,Mercy,01/19/2002,91,72,Away,,,75
3,543,Philadelphia U.,01/22/2002,94,73,Home,,,367
3,1348,St. Thomas Aquinas,01/24/2002,59,48,Away,,,250
3,2692,Dowling,01/26/2002,93,76,Home,,,350
3,162,Concordia (NY),01/30/2002,112,66,Away,,,118
3,477,NYIT,02/02/2002,71,54,Home,,,365
3,560,Queens (NY),02/05/2002,81,64,Away,,,147
3,437,Molloy,02/07/2002,67,57,Away,,,250
3,362,C.W. Post,02/09/2002,96,81,Away,,,75
3,74,Bridgeport,02/13/2002,80,63,Home,,,315
3,2753,Southampton,02/16/2002,80,65,Away,,,225
3,407,Mercy,02/20/2002,87,59,Home,,,320
3,437,Molloy,02/26/2002,85,68,Home,,,472
