school_id,opponent_id,opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence
26172,,Texas Col.,11/16/2006,90,53,Home,,,1855
26172,439,Monmouth,11/20/2006,71,54,Home,,,2065
26172,184,Detroit,11/25/2006,82,73,Away,,,1852
26172,521,Oklahoma St.,11/29/2006,73,95,Away,,,13090
26172,430,Mississippi St.,12/02/2006,72,96,Away,,,8720
26172,,Huston-Tillotson,12/09/2006,87,59,Home,,,2063
26172,465,UNLV,12/17/2006,57,67,Away,,,8041
26172,651,South Fla.,12/18/2006,69,63,Neutral,"Las Vegas, NV",,7536
26172,485,Norfolk St.,12/19/2006,98,82,Neutral,"Las Vegas, NV",,8812
26172,559,Purdue,12/22/2006,61,79,Away,,,7799
26172,290,Howard,12/29/2006,75,57,Home,,,1652
26172,80,Brown,12/30/2006,71,57,Home,,,2007
26172,331,Kent St.,01/02/2007,81,73,Home,,,1630
26172,402,McNeese St.,01/06/2007,74,62,Home,,,3536
26172,508,Northwestern St.,01/11/2007,69,57,Away,,,2316
26172,1004,Central Ark.,01/13/2007,85,73,Away,,,1080
26172,670,Texas St.,01/18/2007,90,42,Home,,,3083
26172,702,Texas-Arlington,01/20/2007,89,63,Away,,,553
26172,706,UTSA,01/27/2007,78,63,Away,,,1571
26172,676,Stephen F. Austin,01/31/2007,70,62,Away,,,2313
26172,624,Sam Houston St.,02/03/2007,79,84,Home,,,5101
26172,483,Nicholls St.,02/08/2007,107,91,Home,,,2994
26172,655,Southeastern La.,02/10/2007,80,74,Home,,,2029
26172,670,Texas St.,02/15/2007,99,89,Away,,,1492
26172,702,Texas-Arlington,02/19/2007,91,72,Home,,,3178
26172,346,Lamar,02/22/2007,77,78,Away,,,3448
26172,706,UTSA,02/24/2007,75,59,Home,,,2457
26172,676,Stephen F. Austin,02/28/2007,69,65,Home,,,3328
26172,624,Sam Houston St.,03/03/2007,85,68,Away,,,3868
26172,655,Southeastern La.,03/08/2007,80,72,Neutral,"Houston, TX",,892
26172,402,McNeese St.,03/09/2007,87,66,Neutral,"Houston, TX",,1466
26172,508,Northwestern St.,03/11/2007,81,78,Neutral,"Houston, TX",,1811
26172,796,Wisconsin,03/16/2007,63,76,Neutral,"Chicago, IL",,18237
2,,Hillsdale Baptist,11/17/2006,71,46,Home,,,323
2,24400,Concordia (TX),11/18/2006,116,114,Home,,,240
2,2741,Howard Payne,11/21/2006,87,81,Home,,,750
2,1334,St. Edward's,11/27/2006,60,65,Away,,,220
2,199,Tex. A&M-Commerce,12/02/2006,88,84,Home,,,1046
2,1045,Dallas Baptist,12/04/2006,76,61,Home,,,500
2,12810,Northeastern St.,12/07/2006,65,66,Away,,,600
2,1009,Central Okla.,12/09/2006,66,92,Away,,,400
2,,Rhema (not a 4-year),12/14/2006,95,50,Home,,,600
2,1346,St. Mary's (TX),12/16/2006,70,68,Away,,,342
2,1334,St. Edward's,12/19/2006,72,61,Home,,,500
2,8965,East Central,01/04/2007,62,57,Home,,,500
2,1371,Southeastern Okla.,01/06/2007,66,77,Home,,,500
2,8744,Southwestern Okla.,01/11/2007,84,91,Away,,,1000
2,206,Eastern N.M.,01/18/2007,82,86,Home,,,750
2,767,West Tex. A&M,01/20/2007,69,78,Away,,,916
2,25,Angelo St.,01/23/2007,92,76,Home,,,1000
2,696,Tex. A&M-Kingsville,01/27/2007,74,85,Home,,,1200
