player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Allen, Jeremy",Jr.,2010-11,G,75,1,0,0,,0,0,,0,0,,1,1.000,0,,0,,0,,0,,0,0,0,964967,2011,26172
"Bables, Michael",So.,2010-11,G,73,2,0,1,0.000,0,0,,0,0,,0,,0,,0,,0,,0,,1,0,0,1067345,2011,26172
"Bond, Horace",Sr.,2010-11,F,80,31,57,115,0.496,3,21,0.143,43,74,0.581,138,4.452,27,0.871,10,0.323,30,0.968,160,5.161,58,1,0,855158,2011,26172
"Echols, Jaamon",Fr.,2010-11,G,72,21,22,71,0.310,7,18,0.389,14,17,0.824,16,0.762,24,1.143,1,0.048,8,0.381,65,3.095,22,0,0,1178369,2011,26172
"Hill, Hollis",Fr.,2010-11,G,73,31,27,92,0.293,13,49,0.265,21,30,0.700,23,0.742,21,0.677,0,,16,0.516,88,2.839,35,0,0,1178370,2011,26172
"Jones, Terence",So.,2010-11,G,74,31,82,232,0.353,51,149,0.342,62,90,0.689,58,1.871,80,2.581,5,0.161,35,1.129,277,8.935,81,1,0,1401176,2011,26172
"Judkins, Garland",Jr.,2010-11,G,76,28,65,155,0.419,10,43,0.233,38,53,0.717,52,1.857,45,1.607,4,0.143,21,0.750,178,6.357,85,0,0,1178371,2011,26172
"Lynch, Kevin",---,2010-11,,,0,,,,,,,,,,,,,,,,,,,,,0,0,1190897,2011,26172
"Mast, Chris",Fr.,2010-11,G,77,27,52,119,0.437,6,26,0.231,26,47,0.553,65,2.407,34,1.259,5,0.185,22,0.815,136,5.037,35,0,0,1178372,2011,26172
"Nelson, Jawan",Jr.,2010-11,C,81,31,60,147,0.408,17,44,0.386,14,26,0.538,56,1.806,14,0.452,9,0.290,1,0.032,151,4.871,35,0,0,964966,2011,26172
"Reynolds, Justin",Sr.,2010-11,F,80,31,123,259,0.475,17,54,0.315,68,111,0.613,222,7.161,44,1.419,34,1.097,29,0.935,331,10.677,81,4,0,855165,2011,26172
"Topps, Antonio",Sr.,2010-11,G,73,30,28,93,0.301,21,76,0.276,4,4,1.000,23,0.767,15,0.500,0,,4,0.133,81,2.700,12,0,0,855164,2011,26172
"Wang, Ted",Fr.,2010-11,C,84,6,1,4,0.250,0,0,,2,4,0.500,2,0.333,0,,1,0.167,0,,4,0.667,0,0,0,1178373,2011,26172
"Warren, Darren",Fr.,2010-11,F,79,12,3,12,0.250,0,6,0.000,0,0,,7,0.583,2,0.167,0,,0,,6,0.500,3,0,0,1178374,2011,26172
"Watt, Demond",Sr.,2010-11,F,79,31,164,283,0.580,0,1,0.000,138,212,0.651,275,8.871,44,1.419,40,1.290,33,1.065,466,15.032,87,9,0,855163,2011,26172
"Cole, Giordan",Sr.,2010-11,F,79,26,93,185,0.503,1,2,0.500,54,88,0.614,147,5.654,11,0.423,20,0.769,34,1.308,241,9.269,54,,,1077001,2011,2
"Davis, Preston",Sr.,2010-11,G,74,26,84,206,0.408,13,52,0.250,76,110,0.691,49,1.885,85,3.269,1,0.038,60,2.308,257,9.885,78,,,1076994,2011,2
"Gates, Levi",So.,2010-11,G,77,,,,,,,,,,,,,,,,,,,,,,,,1077004,2011,2
"Gavranic, Vladimir",Sr.,2010-11,F,80,26,40,88,0.455,5,21,0.238,34,46,0.739,49,1.885,12,0.462,5,0.192,7,0.269,119,4.577,42,,,1076999,2011,2
"Johnson, Jared",Jr.,2010-11,G,75,4,1,6,0.167,0,4,0.000,2,2,1.000,2,0.500,0,,0,,0,,4,1.000,0,,,1076998,2011,2
"Milam, Eric",So.,2010-11,C,79,26,53,98,0.541,0,0,,35,56,0.625,50,1.923,5,0.192,14,0.538,6,0.231,141,5.423,39,,,1189412,2011,2
"Newton, Steven",So.,2010-11,G,73,4,1,3,0.333,0,1,0.000,0,0,,4,1.000,1,0.250,0,,0,,2,0.500,0,,,1189406,2011,2
"Norman, Marcus",Fr.,2010-11,G,72,,,,,,,,,,,,,,,,,,,,,,,,1189408,2011,2
"Richman, Alex",Jr.,2010-11,G,73,25,40,110,0.364,34,97,0.351,25,31,0.806,41,1.640,27,1.080,0,,17,0.680,139,5.560,48,,,1189407,2011,2
"Ryals, Dominique",Fr.,2010-11,G,73,13,4,6,0.667,1,2,0.500,0,0,,3,0.231,2,0.154,0,,2,0.154,9,0.692,3,,,1077005,2011,2
"Simms, Dosh",So.,2010-11,F,77,25,56,130,0.431,11,36,0.306,26,38,0.684,120,4.800,32,1.280,7,0.280,24,0.960,149,5.960,50,,,1076997,2011,2
"Wait, Trevor",Fr.,2010-11,G,73,8,0,1,0.000,0,1,0.000,0,2,0.000,0,,1,0.125,0,,2,0.250,0,,3,,,1189411,2011,2
"Warton, Ben",Jr.,2010-11,F,77,26,53,113,0.469,4,13,0.308,43,76,0.566,127,4.885,27,1.038,8,0.308,24,0.923,153,5.885,39,,,971131,2011,2
"Washington, Marcus",Sr.,2010-11,F,76,26,44,108,0.407,15,43,0.349,45,62,0.726,86,3.308,15,0.577,7,0.269,12,0.462,148,5.692,47,,,1077003,2011,2
"Williams, Zach",Jr.,2010-11,G,77,22,88,237,0.371,25,74,0.338,64,100,0.640,75,3.409,22,1.000,10,0.455,24,1.091,265,12.045,91,,,1189410,2011,2
"Wilson, Grant",Fr.,2010-11,G,74,,,,,,,,,,,,,,,,,,,,,,,,1189413,2011,2
"Woodberry, Desmond",Jr.,2010-11,G,74,19,61,161,0.379,9,35,0.257,36,60,0.600,74,3.895,17,0.895,7,0.368,36,1.895,167,8.789,37,,,1189409,2011,2
"Aikman, Aaron",So.,2010-11,F,80,19,4,7,0.571,0,0,,4,10,0.400,22,1.158,2,0.105,2,0.105,2,0.105,12,0.632,5,,,1076035,2011,30123
"Burnett, Jonathan",Sr.,2010-11,F,79,26,67,121,0.554,0,0,,25,55,0.455,129,4.962,14,0.538,15,0.577,16,0.615,159,6.115,34,,,1076028,2011,30123
"Davis, Keith",Jr.,2010-11,F,76,26,157,390,0.403,30,70,0.429,86,119,0.723,121,4.654,33,1.269,6,0.231,17,0.654,430,16.538,63,,,1183127,2011,30123
"Hayden, Hunter",Jr.,2010-11,C,81,26,53,112,0.473,0,1,0.000,26,47,0.553,168,6.462,21,0.808,18,0.692,17,0.654,132,5.077,34,,,1076031,2011,30123
"Jorritsma, Mike",So.,2010-11,C,81,26,14,38,0.368,0,0,,8,11,0.727,39,1.500,4,0.154,3,0.115,5,0.192,36,1.385,14,,,1076034,2011,30123
