opponent_name,game_date,score,opponent_score,location,neutral_site_location,game_length,attendence,opponent_id,year,school_id
Texas A&M Int'l,11/20/2004,82,46,Home,,,2835,,2005,26172
Florida St.,11/22/2004,70,67,Away,,,5587,234,2005,26172
Kent St.,11/24/2004,58,76,Away,,,3178,331,2005,26172
TCU,11/27/2004,85,79,Home,,,2549,698,2005,26172
Old Dominion,11/28/2004,71,67,Home,,,2005,523,2005,26172
Prairie View,12/02/2004,65,48,Away,,,1245,553,2005,26172
Baylor,12/04/2004,73,58,Away,,,3686,51,2005,26172
Texas Southern,12/17/2004,65,63,Away,,,1640,699,2005,26172
Alabama,12/22/2004,54,76,Away,,,8184,8,2005,26172
Alcorn St.,12/28/2004,85,41,Home,,,2156,17,2005,26172
Northern Ill.,12/29/2004,67,73,Home,,,2085,503,2005,26172
Chicago St.,01/01/2005,86,59,Home,,,4071,136,2005,26172
Oklahoma St.,01/03/2005,61,86,Home,,,8431,521,2005,26172
Savannah St.,01/08/2005,85,55,Away,,,379,632,2005,26172
Drake,01/10/2005,80,91,Away,,,3894,189,2005,26172
Savannah St.,01/15/2005,88,54,Home,,,2223,632,2005,26172
Utah Valley,01/20/2005,73,96,Away,,,1327,30024,2005,26172
Northern Colo.,01/22/2005,87,81,Away,,,1382,502,2005,26172
Tex.-Pan American,01/26/2005,66,61,Away,,,2637,536,2005,26172
IPFW,02/02/2005,76,61,Home,,,1684,308,2005,26172
Tex.-Pan American,02/05/2005,72,70,Home,,,2758,536,2005,26172
Wiley,02/09/2005,103,64,Home,,,1599,,2005,26172
Longwood,02/12/2005,62,43,Away,,,501,363,2005,26172
Northwestern,02/14/2005,51,59,Away,,,3066,509,2005,26172
Central Baptist,02/17/2005,96,53,Home,,,1924,,2005,26172
Utah Valley,02/19/2005,73,47,Home,,,2829,30024,2005,26172
IPFW,02/21/2005,69,77,Away,,,1798,308,2005,26172
Huston-Tillotson,02/23/2005,99,67,Home,,,2779,,2005,26172
Rhema (not a 4-year),11/16/2004,78,61,Home,,,400,,2005,2
Cameron,11/19/2004,75,88,Home,,,450,996,2005,2
Wiley,11/20/2004,86,80,Home,,,200,,2005,2
St. Edward's,11/29/2004,68,67,Away,,,260,1334,2005,2
Tarleton St.,12/02/2004,68,76,Home,,,1200,1395,2005,2
S'western Aly God,12/04/2004,79,57,Home,,,250,,2005,2
Dallas Christian,12/09/2004,110,79,Home,,,250,,2005,2
