player_name,class,season,position,height,g,fg_made,fg_attempts,fg_percent,3pt_made,3pt_attempts,3pt_percent,freethrows_made,freethrows_attempts,freethrows_percent,rebounds_num,rebounds_avg,assists_num,assists_avg,blocks_num,blocks_avg,steals_num,steals_avg,points_num,points_avg,turnovers,dd,td,player_id,year,school_id
"Allen, Jeremy",Fr.,2008-09,G,75,7,0,0,,0,0,,0,0,,1,0.143,0,,0,,1,0.143,0,,1,,,964967,2009,26172
"Bond, Horace",So.,2008-09,F,80,33,52,111,0.468,4,20,0.200,43,71,0.606,140,4.242,35,1.061,8,0.242,11,0.333,151,4.576,46,,,855158,2009,26172
"Coombs, Shamar",Jr.,2008-09,G,73,23,52,159,0.327,26,84,0.310,56,73,0.767,63,2.739,56,2.435,2,0.087,12,0.522,186,8.087,71,,,964972,2009,26172
"Drake, LaMarr",Jr.,2008-09,G,73,16,36,99,0.364,11,42,0.262,22,30,0.733,42,2.625,51,3.188,3,0.188,21,1.313,105,6.563,54,,,964965,2009,26172
"Green, Tim",Sr.,2008-09,G,75,33,96,233,0.412,35,99,0.354,46,85,0.541,70,2.121,43,1.303,1,0.030,44,1.333,273,8.273,48,,,855161,2009,26172
"Hammonds, Marcus",Jr.,2008-09,F,77,33,26,54,0.481,5,16,0.313,13,25,0.520,62,1.879,20,0.606,7,0.212,11,0.333,70,2.121,29,,,964971,2009,26172
"Johnson, Jonathan",Fr.,2008-09,F,80,5,0,0,,0,0,,0,0,,1,0.200,0,,0,,0,,0,,0,,,964973,2009,26172
"Jones, Terrence",Fr.,2008-09,G,74,,,,,,,,,,,,,,,,,,,,,,,,1401176,2009,26172
"Nelson, Jawan",Fr.,2008-09,C,81,33,48,111,0.432,9,30,0.300,29,36,0.806,61,1.848,9,0.273,5,0.152,4,0.121,134,4.061,42,,,964966,2009,26172
"Palmer, Kevin",Jr.,2008-09,G,78,33,190,445,0.427,54,174,0.310,165,204,0.809,170,5.152,94,2.848,18,0.545,86,2.606,599,18.152,111,,,964970,2009,26172
"Perkins, Kevin",So.,2008-09,G,73,4,3,9,0.333,0,3,0.000,2,2,1.000,6,1.500,1,0.250,0,,2,0.500,8,2.000,7,,,855159,2009,26172
"Reynolds, Justin",So.,2008-09,F,80,33,100,214,0.467,11,34,0.324,57,102,0.559,154,4.667,33,1.000,17,0.515,30,0.909,268,8.121,50,,,855165,2009,26172
"Toncinic, Filip",Fr.,2008-09,,,33,75,189,0.397,15,50,0.300,39,62,0.629,144,4.364,45,1.364,33,1.000,25,0.758,204,6.182,38,,,967418,2009,26172
"Topps, Antonio",So.,2008-09,G,73,14,6,23,0.261,5,19,0.263,3,4,0.750,6,0.429,4,0.286,1,0.071,6,0.429,20,1.429,10,,,855164,2009,26172
"Warnell, Jacob",Fr.,2008-09,G,75,7,0,2,0.000,0,1,0.000,2,2,1.000,3,0.429,0,,0,,0,,2,0.286,2,,,964969,2009,26172
"Watt, Demond",So.,2008-09,F,79,29,85,177,0.480,1,1,1.000,64,96,0.667,186,6.414,27,0.931,37,1.276,28,0.966,235,8.103,42,,,855163,2009,26172
"Adams, Dante",Sr.,2008-09,G,75,26,128,299,0.428,55,138,0.399,49,83,0.590,112,4.308,78,3.000,3,0.115,54,2.077,360,13.846,72,,,864730,2009,2
"Baker, Marquiz",Fr.,2008-09,,,10,10,19,0.526,8,16,0.500,8,8,1.000,3,0.300,4,0.400,0,,6,0.600,36,3.600,4,,,971127,2009,2
"Callahan, Brandon",Jr.,2008-09,G,70,,,,,,,,,,,,,,,,,,,,,,,,864729,2009,2
"Heiman, Dustin",So.,2008-09,,,5,14,31,0.452,4,14,0.286,4,5,0.800,7,1.400,17,3.400,0,,4,0.800,36,7.200,15,,,880623,2009,2
